domain,direction,sentence_type_fine,source_id,source_doc,source_text,target_text,adequacy_0_2,fluency_0_2,meaning_preserved_yes_no,issues,notes,adequacy_1to5,fluency_1to5,overall_quality,error_tags,comments,cohesion_discourse_optional
conversational,fj->en,question,conversational|years_9_10|00074,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,e tiko na palau toa?,is there chicken palau?,,,,,,3,3,3.0,lexical;grammar,Understandable with minor grammatical issues.,
conversational,fj->en,question,conversational|years_9_10|00077,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,e tiko na ika vakalolo kei na tavioka?,is there fish lolo and cassava?,,,,,,5,5,5.0,,Fluent and clear.,
conversational,fj->en,statement,conversational|years_9_10|00024,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,e noqu itokani.,he is my friend.,,,,,,3,4,3.5,,Mostly correct but slightly awkward.,
conversational,fj->en,statement,conversational|years_9_10|00118,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,vinaka vakalevu na lagasere.,thanks for the singing.,,,,,,1,3,2.0,omission;lexical;grammar,Unnatural and difficult to understand.,
conversational,fj->en,statement,conversational|years_9_10|00006,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,na yacai tinaqu o mere.,my mother’s name is mere.,,,,,,4,2,3.0,grammar;word_order,Acceptable but could be smoother.,
conversational,fj->en,statement,conversational|years_9_10|00088,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,e tabu na vakaisala.,wearing hat is not allowed.,,,,,,4,2,3.0,grammar;word_order,Acceptable but could be smoother.,
conversational,fj->en,statement,conversational|years_4_5|00022,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,na vuata au dau taleitaka na meleni.,my favourite fruit is watermelon.,,,,,,5,5,5.0,,Fluent and clear.,
conversational,fj->en,statement,conversational|years_9_10|00070,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,eda rawa ni lako i/lai tauni.,we can go to town.,,,,,,3,5,4.0,register,Mostly correct but slightly awkward.,
conversational,fj->en,statement,conversational|years_4_5|00031,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,"e tiko tale ga na valelailai/valepo, paipo kei na valenisili e koronivuli.","we also have toilets, taps and bathrooms at school.",,,,,,3,3,3.0,lexical;grammar,Acceptable but could be smoother.,
conversational,fj->en,statement,conversational|years_9_10|00073,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,me dua mai vei au.,i will have one serve.,,,,,,4,2,3.0,grammar;word_order;cultural,Acceptable but could be smoother.,
conversational,fj->en,statement,conversational|years_9_10|00069,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,eda rawa ni lako i/lai sisili i waitui.,we can swim in the sea.,,,,,,5,4,4.5,,Accurate and natural.,
conversational,fj->en,statement,conversational|years_4_5|00035,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,era dau vakatarausese/sulu vakataga kei na sotenivuli na gonetagane i koronivuli.,boys wear school pants/sulu and shirt to school.,,,,,,3,4,3.5,lexical,Understandable with minor grammatical issues.,
conversational,fj->en,statement,conversational|years_9_10|00090,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,e tabu na vakalukalu.,whistling is not allowed.,,,,,,4,4,4.0,,Acceptable but could be smoother.,
conversational,fj->en,statement,conversational|years_9_10|00023,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,e gonetagane ni taveuni.,he is from taveuni.,,,,,,3,4,3.5,lexical,Understandable with minor grammatical issues.,
conversational,fj->en,statement,conversational|years_9_10|00022,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,qo o maciu.,this is maciu.,,,,,,4,5,4.5,,Fluent and clear.,
conversational,fj->en,statement,conversational|years_9_10|00026,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,e vuli tiko e paradise secondary school.,he is schooling at paradise secondary school.,,,,,,3,4,3.5,lexical,Acceptable but could be smoother.,
conversational,fj->en,statement,conversational|years_9_10|00030,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,na kena kakana taleitaki na ika vakalolo kei na dalo.,his favourite food is fish lolo and taro.,,,,,,3,5,4.0,lexical,Meaning mostly preserved; improve word choice.,
conversational,fj->en,statement,conversational|years_4_5|00027,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,na moli e dau kamikamica ni se vou.,an orange is sweet when it is unripe.,,,,,,3,4,3.5,lexical,Acceptable but could be smoother.,
conversational,fj->en,statement,conversational|years_9_10|00106,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,vakabira na shutters na katubaleka.,put shutters on the windows.,,,,,,3,4,3.5,lexical,Meaning mostly preserved; improve word choice.,
conversational,fj->en,statement,conversational|years_4_5|00034,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,e ra dau vakavinivo ni vuli na goneyalewa i koronivuli.,girls wear school dress to school.,,,,,,3,4,3.5,lexical;register,Mostly correct but slightly awkward.,
conversational,fj->en,statement,conversational|years_9_10|00015,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,na yacai tamaqu o salesh.,my father’s name is salesh.,,,,,,4,4,4.0,,Acceptable but could be smoother.,
conversational,fj->en,statement,conversational|years_4_5|00025,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,erau tautauvata na ibulibuli ni maqo kei na painapiu.,the shape of mangoes and pineapples are the same.,,,,,,4,3,3.5,grammar,Meaning mostly preserved; improve word choice.,
definition,en->fj,example,definition|000285,definition.xlsx::Sheet1,"arrive, come to a stop",kele,,,,,,4,4,4.0,other,Acceptable but could be smoother.,
definition,en->fj,example,definition|000631,definition.xlsx::Sheet1,lock of hair of virginity,taube,,,,,,3,1,2.0,lexical;grammar;word_order,Meaning partly incorrect or unclear.,
definition,en->fj,example,definition|000466,definition.xlsx::Sheet1,nd person plural (oni),ni,,,,,,5,2,3.5,grammar;word_order,Understandable with minor grammatical issues.,
definition,en->fj,example,definition|000520,definition.xlsx::Sheet1,fish with nets,qoli,,,,,,4,4,4.0,,Meaning mostly preserved; improve word choice.,
definition,en->fj,example,definition|000429,definition.xlsx::Sheet1,wife's father's brother,momo,,,,,,4,5,4.5,,Accurate and natural.,
definition,en->fj,example,definition|000454,definition.xlsx::Sheet1,father's elder brother's wife,nana levu,,,,,,4,4,4.0,,Understandable with minor grammatical issues.,
definition,en->fj,example,definition|000625,definition.xlsx::Sheet1,mother's elder sister's husband,tata levu,,,,,,3,3,3.0,lexical;grammar,Understandable with minor grammatical issues.,
definition,en->fj,example,definition|000378,definition.xlsx::Sheet1,light in weight,mamada,,,,,,3,4,3.5,,Understandable with minor grammatical issues.,
definition,en->fj,example,definition|000796,definition.xlsx::Sheet1,"speak, talk, word, language",vosa,,,,,,4,5,4.5,,Meaning preserved; reads well.,
definition,en->fj,example,definition|000463,definition.xlsx::Sheet1,husband's father's sister,nei,,,,,,4,5,4.5,,Meaning preserved; reads well.,
definition,en->fj,example,definition|000734,definition.xlsx::Sheet1,"kitchen, cooking house",vale ni kuro,,,,,,3,4,3.5,lexical,Meaning mostly preserved; improve word choice.,
definition,en->fj,example,definition|000556,definition.xlsx::Sheet1,against (be against),saqata,,,,,,3,5,4.0,lexical,Mostly correct but slightly awkward.,
definition,en->fj,example,definition|000752,definition.xlsx::Sheet1,carry (person) on back,vava,,,,,,4,5,4.5,,Accurate and natural.,
definition,en->fj,example,definition|000208,definition.xlsx::Sheet1,cards (deck of),imau,,,,,,4,4,4.0,,Meaning mostly preserved; improve word choice.,
definition,en->fj,example,definition|000003,definition.xlsx::Sheet1,honorific prefix (woman),adi,,,,,,3,5,4.0,lexical,Acceptable but could be smoother.,
definition,en->fj,example,definition|000001,definition.xlsx::Sheet1,marker for common nouns,a,,,,,,3,2,2.5,lexical;grammar;word_order,Major errors; needs revision.,
definition,en->fj,example,definition|000583,definition.xlsx::Sheet1,fish with line,siwa,,,,,,5,4,4.5,,Good translation with only minor edits needed.,
definition,en->fj,example,definition|000554,definition.xlsx::Sheet1,"path, track, road","sala, gaunisala",,,,,,4,2,3.0,grammar;word_order,Understandable with minor grammatical issues.,
definition,en->fj,example,definition|000117,definition.xlsx::Sheet1,"true, genuine, sincere",dina,,,,,,1,3,2.0,omission;lexical;grammar,Key information missing or mistranslated.,
definition,en->fj,example,definition|000590,definition.xlsx::Sheet1,apology (ceremonial act of),soro,,,,,,5,3,4.0,grammar,Understandable with minor grammatical issues.,
definition,en->fj,headword,definition|000818,definition.xlsx::Sheet1,blanket,vulaqeti,,,,,,1,2,1.5,omission;lexical;grammar;word_order,Key information missing or mistranslated.,
definition,en->fj,headword,definition|000175,definition.xlsx::Sheet1,drink,gunu,,,,,,3,4,3.5,lexical,Meaning mostly preserved; improve word choice.,
definition,en->fj,headword,definition|000777,definition.xlsx::Sheet1,better,vinaka (cake),,,,,,5,3,4.0,,Understandable with minor grammatical issues.,
definition,en->fj,headword,definition|000727,definition.xlsx::Sheet1,english,vaka-valagi,,,,,,2,3,2.5,omission;lexical;grammar;cultural,Unnatural and difficult to understand.,
definition,en->fj,headword,definition|000513,definition.xlsx::Sheet1,school teacher,qase ni vuli,,,,,,5,3,4.0,,Mostly correct but slightly awkward.,
definition,en->fj,headword,definition|000188,definition.xlsx::Sheet1,below,i ra,,,,,,3,1,2.0,grammar;word_order,Major errors; needs revision.,
definition,en->fj,headword,definition|000076,definition.xlsx::Sheet1,abhorrent,ca-ti,,,,,,3,5,4.0,lexical,Mostly correct but slightly awkward.,
definition,en->fj,headword,definition|000138,definition.xlsx::Sheet1,yellow,dromodromo,,,,,,5,5,5.0,,Meaning preserved; reads well.,
definition,en->fj,headword,definition|000778,definition.xlsx::Sheet1,best,vinaka duadua,,,,,,5,3,4.0,grammar;register,Understandable with minor grammatical issues.,
definition,en->fj,headword,definition|000812,definition.xlsx::Sheet1,abet,vuke-a,,,,,,4,4,4.0,,Meaning mostly preserved; improve word choice.,
definition,en->fj,headword,definition|000231,definition.xlsx::Sheet1,baggage,iyaya,,,,,,1,2,1.5,omission;lexical;grammar;word_order,Key information missing or mistranslated.,
definition,en->fj,headword,definition|000288,definition.xlsx::Sheet1,advantage,kena vinaka,,,,,,3,3,3.0,lexical,Understandable with minor grammatical issues.,
definition,en->fj,headword,definition|000116,definition.xlsx::Sheet1,genuine,dina,,,,,,1,4,2.5,omission;lexical,Major errors; needs revision.,
definition,en->fj,headword,definition|000449,definition.xlsx::Sheet1,when?,naica,,,,,,3,3,3.0,grammar,Meaning mostly preserved; improve word choice.,
definition,en->fj,headword,definition|000444,definition.xlsx::Sheet1,the,"na, a",,,,,,4,3,3.5,grammar;register,Mostly correct but slightly awkward.,
definition,en->fj,headword,definition|000653,definition.xlsx::Sheet1,aunt,tina-levu,,,,,,3,3,3.0,grammar,Meaning mostly preserved; improve word choice.,
definition,en->fj,headword,definition|000373,definition.xlsx::Sheet1,son's daughter,makubuqu yalewa,,,,,,4,3,3.5,grammar,Meaning mostly preserved; improve word choice.,
definition,en->fj,headword,definition|000673,definition.xlsx::Sheet1,tell,tukuna,,,,,,5,1,3.0,grammar;word_order,Mostly correct but slightly awkward.,
definition,en->fj,headword,definition|000509,definition.xlsx::Sheet1,swim,qalo,,,,,,4,3,3.5,grammar,Mostly correct but slightly awkward.,
definition,en->fj,headword,definition|000838,definition.xlsx::Sheet1,count,wilika,,,,,,3,4,3.5,lexical,Understandable with minor grammatical issues.,
definition,fj->en,example,definition|000181,definition.xlsx::Sheet1,"i cake, i dela",above,,,,,,5,4,4.5,,Accurate and natural.,
definition,fj->en,example,definition|000185,definition.xlsx::Sheet1,i loma ni... kei...,between,,,,,,5,3,4.0,grammar;cultural,Meaning mostly preserved; improve word choice.,
definition,fj->en,example,definition|000852,definition.xlsx::Sheet1,"yalo vinaka, beka, mada",please,,,,,,2,4,3.0,omission;lexical,Mostly correct but slightly awkward.,
definition,fj->en,example,definition|000564,definition.xlsx::Sheet1,se qai vuli,beginner,,,,,,5,1,3.0,grammar;word_order,Meaning mostly preserved; improve word choice.,
definition,fj->en,example,definition|000152,definition.xlsx::Sheet1,e dua na,"a, an",,,,,,3,4,3.5,other,Meaning mostly preserved; improve word choice.,
definition,fj->en,example,definition|000293,definition.xlsx::Sheet1,"keri, kea , oya, oqori",there,,,,,,2,4,3.0,omission;lexical,Understandable with minor grammatical issues.,
definition,fj->en,example,definition|000203,definition.xlsx::Sheet1,"iko, drau, dou, onε, nε",you,,,,,,2,4,3.0,omission;lexical;register,Meaning mostly preserved; improve word choice.,
definition,fj->en,example,definition|000392,definition.xlsx::Sheet1,mata ni vanua,herald,,,,,,4,5,4.5,,Fluent and clear.,
definition,fj->en,example,definition|000303,definition.xlsx::Sheet1,koro ni vuli,school,,,,,,2,4,3.0,omission;lexical,Meaning mostly preserved; improve word choice.,
definition,fj->en,example,definition|000106,definition.xlsx::Sheet1,"dau, tu ga",always,,,,,,4,5,4.5,,Good translation with only minor edits needed.,
definition,fj->en,example,definition|000735,definition.xlsx::Sheet1,vale ni lotu,church,,,,,,3,5,4.0,lexical,Understandable with minor grammatical issues.,
definition,fj->en,example,definition|000161,definition.xlsx::Sheet1,"ga, dua.dua, wale ga",only,,,,,,4,3,3.5,,Meaning mostly preserved; improve word choice.,
definition,fj->en,example,definition|000513,definition.xlsx::Sheet1,qase ni vuli,school teacher,,,,,,3,4,3.5,,Acceptable but could be smoother.,
definition,fj->en,example,definition|000481,definition.xlsx::Sheet1,noqu veitabuki yalewa,wife's brother's wife,,,,,,4,3,3.5,,Mostly correct but slightly awkward.,
definition,fj->en,example,definition|000186,definition.xlsx::Sheet1,i maliwa ni,among (things),,,,,,4,5,4.5,,Accurate and natural.,
definition,fj->en,example,definition|000264,definition.xlsx::Sheet1,"kato, taga, beki",bag,,,,,,3,4,3.5,lexical,Understandable with minor grammatical issues.,
definition,fj->en,example,definition|000480,definition.xlsx::Sheet1,noqu veitabuki tagane,husband's sister's husband,,,,,,5,5,5.0,,Fluent and clear.,
definition,fj->en,example,definition|000443,definition.xlsx::Sheet1,na cava oqo,what is this,,,,,,4,2,3.0,grammar;word_order,Acceptable but could be smoother.,
definition,fj->en,example,definition|000096,definition.xlsx::Sheet1,"daku, i muri",back,,,,,,4,4,4.0,,Understandable with minor grammatical issues.,
definition,fj->en,example,definition|000738,definition.xlsx::Sheet1,vale ni yaqona,bar,,,,,,5,3,4.0,idiomatic,Meaning mostly preserved; improve word choice.,
definition,fj->en,headword,definition|000627,definition.xlsx::Sheet1,tau,fall (rain),,,,,,4,4,4.0,,Meaning mostly preserved; improve word choice.,
definition,fj->en,headword,definition|000156,definition.xlsx::Sheet1,era,rd person plural,,,,,,5,4,4.5,,Meaning preserved; reads well.,
definition,fj->en,headword,definition|000543,definition.xlsx::Sheet1,rua,two,,,,,,4,4,4.0,,Acceptable but could be smoother.,
definition,fj->en,headword,definition|000581,definition.xlsx::Sheet1,sitoa,shop,,,,,,3,3,3.0,grammar,Meaning mostly preserved; improve word choice.,
definition,fj->en,headword,definition|000604,definition.xlsx::Sheet1,taci-,brother,,,,,,4,5,4.5,,Good translation with only minor edits needed.,
definition,fj->en,headword,definition|000053,definition.xlsx::Sheet1,buka,fire,,,,,,3,3,3.0,lexical,Mostly correct but slightly awkward.,
definition,fj->en,headword,definition|000656,definition.xlsx::Sheet1,toa,chicken,,,,,,2,4,3.0,omission;lexical,Meaning mostly preserved; improve word choice.,
definition,fj->en,headword,definition|000003,definition.xlsx::Sheet1,adi,honorific prefix (woman),,,,,,4,3,3.5,grammar,Mostly correct but slightly awkward.,
definition,fj->en,headword,definition|000772,definition.xlsx::Sheet1,via,want to,,,,,,3,3,3.0,lexical,Meaning mostly preserved; improve word choice.,
definition,fj->en,headword,definition|000603,definition.xlsx::Sheet1,tabua,whaleæs tooth,,,,,,3,3,3.0,,Meaning mostly preserved; improve word choice.,
definition,fj->en,headword,definition|000352,definition.xlsx::Sheet1,luve-,child (offspring),,,,,,5,3,4.0,grammar,Mostly correct but slightly awkward.,
definition,fj->en,headword,definition|000536,definition.xlsx::Sheet1,rawa.rawa,easy,,,,,,4,4,4.0,,Understandable with minor grammatical issues.,
definition,fj->en,headword,definition|000076,definition.xlsx::Sheet1,ca-ti,abhorrent,,,,,,4,5,4.5,,Fluent and clear.,
definition,fj->en,headword,definition|000791,definition.xlsx::Sheet1,voleka,near,,,,,,5,5,5.0,,Accurate and natural.,
definition,fj->en,headword,definition|000699,definition.xlsx::Sheet1,vaka totolo,quickly,,,,,,5,4,4.5,register,Meaning preserved; reads well.,
definition,fj->en,headword,definition|000354,definition.xlsx::Sheet1,luvequ tagane,sister's son,,,,,,5,4,4.5,other,Fluent and clear.,
definition,fj->en,headword,definition|000794,definition.xlsx::Sheet1,vonu,turtle,,,,,,4,4,4.0,,Meaning mostly preserved; improve word choice.,
definition,fj->en,headword,definition|000722,definition.xlsx::Sheet1,vakamadua-taka,abash,,,,,,3,4,3.5,lexical,Meaning mostly preserved; improve word choice.,
definition,fj->en,headword,definition|000629,definition.xlsx::Sheet1,tau.tau.vata,even,,,,,,2,2,2.0,omission;lexical;grammar;word_order,Key information missing or mistranslated.,
definition,fj->en,headword,definition|000097,definition.xlsx::Sheet1,daliga,ear,,,,,,2,2,2.0,omission;lexical;grammar;word_order,Meaning partly incorrect or unclear.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0006067,Fijian-English_Dictionary.txt,leaves,"as an excellent, durable thatch. no one makes a sage starch powder, or pudding, as in done in",,,,,,2,4,3.0,omission;lexical,Mostly correct but slightly awkward.,Flows reasonably.
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0005071,Fijian-English_Dictionary.txt,regular visitors,"to a verandah. often flies in flocks. the grey-backed white eye has a more distinct yellow breast and underparts. qiqi, qiqica v. to roll (ball, metal drum, boat on rollers). qiqica na taya to roll the tyre (as children might do). fijians had no concept of wheels. idiom: qiqi cabe to move by rolling over in pretended sleep, with the purpose of making love to someone",,,,,,3,2,2.5,grammar;word_order,Unnatural and difficult to understand.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0007272,Fijian-English_Dictionary.txt,veitube,"(archaic) n., v. formal marriage, to marry. this is an old, properly traditional word used mostly",,,,,,4,3,3.5,,Understandable with minor grammatical issues.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0002781,Fijian-English_Dictionary.txt,kavitu,"as in lotu kavitu, an american christian sect, seventh day adventists, that retains saturday as",,,,,,3,4,3.5,,Mostly correct but slightly awkward.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0000189,Fijian-English_Dictionary.txt,gaunisala,the branch in the road (where it divides). na veibasoga ni kawa n. the division of kinship lineage. syn. basaga.,,,,,,4,5,4.5,,Accurate and natural.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0005282,Fijian-English_Dictionary.txt,vakararavi,"adj . dependent. vakararavi vei au dependent on me, trusting in me to take care of (person).",,,,,,4,2,3.0,grammar;word_order,Mostly correct but slightly awkward.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0000976,Fijian-English_Dictionary.txt,during,"the latter half of the hurricane season (roughly november through april). the wind is thought to be related to some dry skin conditions, and a chapping of the lips.",,,,,,3,4,3.5,,Acceptable but could be smoother.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0008403,Fijian-English_Dictionary.txt,waboraki,"v. side-swipe, as with a “haymaker” punch.",,,,,,3,4,3.5,lexical,Understandable with minor grammatical issues.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0005759,Fijian-English_Dictionary.txt,sausau vuki,"v. to flip over, tumble over.",,,,,,3,2,2.5,lexical;grammar;word_order,Meaning partly incorrect or unclear.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0005105,Fijian-English_Dictionary.txt,mean,"“that ’s it !”, “right, you are correct”, “you got what you deserved !” (implying the person was warned). qori gona na vuna! there, that is thus the cause ! qori kina! idiom : there !, that’s what you deserve ! qoro, qoroya (or) qorotaka v. to be amazed at (something), to admire greatly ., to stare at and marvel at.",,,,,,5,5,5.0,,Fluent and clear.,Some cohesion issues.
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0008688,Fijian-English_Dictionary.txt,yaka,"n. forest tree to meters, dacrydium nidulum, podocarpaceae, a gymnosperm, branching only at",,,,,,5,4,4.5,,Accurate and natural.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0002736,Fijian-English_Dictionary.txt,kaunitoni,"n. legendary ship of immigrant lutunasobasoba and degei, probably in s, settling at vuda, then with some of those of this so-called “first landing”, moving on to nakauvadra. these immigrants arrived long after the much earlier, more melanesian settlers.",,,,,,3,5,4.0,lexical,Understandable with minor grammatical issues.,Flows reasonably.
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0001486,Fijian-English_Dictionary.txt,didi,very low tide. di caracara na mati very low tide. sa lala didi na vale. the house is completely empty. didi (or) didivara deaf.,,,,,,4,4,4.0,,Acceptable but could be smoother.,Good flow.
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0007681,Fijian-English_Dictionary.txt,vaka-sisila,"adj . despicable, disgusting, disreputable, usually of behaviour",,,,,,3,4,3.5,lexical;cultural,Understandable with minor grammatical issues.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0002182,Fijian-English_Dictionary.txt,idini,(eng.) n. engine. idini cavu outboard motor. punts with outboard engines have replaced the sailing,,,,,,3,3,3.0,,Acceptable but could be smoother.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0004823,Fijian-English_Dictionary.txt,paodi,n. (eng.) pound (weight or brtish money).,,,,,,4,4,4.0,other,Understandable with minor grammatical issues.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0000789,Fijian-English_Dictionary.txt,cagau,"n. internode (of plant stem, as in bamboo), a space between two or more objects (such as the nodes of a plant-stem). see tagau, togo-na.",,,,,,4,4,4.0,other,Mostly correct but slightly awkward.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0000349,Fijian-English_Dictionary.txt,root-word,used to express heaviness or importance. (see the following words and expressions.) ena,,,,,,3,2,2.5,lexical;grammar;word_order;idiomatic,Unnatural and difficult to understand.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0004080,Fijian-English_Dictionary.txt,matalila,"thin-faced, haggard..",,,,,,3,3,3.0,lexical;grammar;idiomatic,Understandable with minor grammatical issues.,
dictionary,fj->en,statement,dictionary|dictionary_parallel_fj2en|0001028,Fijian-English_Dictionary.txt,cilo,"n. (medical) blood in the faeces. cilu, ciluma . v. to pick at, remove one or a few things from inside a pile of them, ""fish around"" for something selectively. syn. (slang., eng.) samarini. cilu, ciluma . v. of birds, bats, to peck at, maturing fruit for example. cina, cinava v. to illuminate, cast light on, usually by lamplight or torch. cina lamp, torch. cina livaliva",,,,,,4,3,3.5,,Mostly correct but slightly awkward.,
idiom,fj->en,idiom_literal,idiom|idioms|000040|literal,Fijian Idioms - Copy.txt,Sa dre ko Malolo,"[Literal Translation:Malolo is pulling or The sun is setting. (Malolo Island is in the west of Vitilevu Island, off the coast of Nadi).] [Meaning: It may mean that something is coming to an end. It can also mean that time is being wasted in idleness]",,,,,,4,4,4.0,named_entity,Mostly correct but slightly awkward.,
idiom,fj->en,idiom_literal,idiom|idioms|000040|literal,Fijian Idioms - Copy.txt,solia na kesuna,[Literal Translation:to turn ones back (in disdain)] [Meaning:To reject an approach or request.],,,,,,5,4,4.5,,Meaning preserved; reads well.,
idiom,fj->en,idiom_literal,idiom|idioms|000035|literal,Fijian Idioms - Copy.txt,kasivita na vale,[Literal Translation:to spit (or simulate) spitting on the house. ] [Meaning:This refers to celebrating the completion of a newly constructed home. This is usually fun filled kava drinking with the home owner as host. The celebration is called ikasiviti ni vale],,,,,,4,3,3.5,other,Acceptable but could be smoother.,
idiom,fj->en,idiom_literal,idiom|idioms|000040|literal,Fijian Idioms - Copy.txt,sa na siri na duamu,[Literal Translation:your legs will get knocked out from under you.] [Meaning: Usually said to a man attracted to a girl that he will fall hopelessly in love.],,,,,,1,5,3.0,omission;lexical;cultural,Understandable with minor grammatical issues.,
idiom,fj->en,idiom_literal,idiom|idioms|000040|literal,Fijian Idioms - Copy.txt,vakaseuta na bure ni kadi,[Literal Translation:to scratch into an ants nest] [Meaning:to stir up trouble.],,,,,,4,4,4.0,,Mostly correct but slightly awkward.,
idiom,fj->en,idiom_literal,idiom|idioms|000040|literal,Fijian Idioms - Copy.txt,tara-koro,"[Literal Translation:to build/touch village] [Meaning:To gossip together, as an informal group, about people, relatives, news from the villages (koro).]",,,,,,5,3,4.0,grammar,Acceptable but could be smoother.,
idiom,fj->en,idiom_literal,idiom|idioms|000038|literal,Fijian Idioms - Copy.txt,kena na isamu ni dawa,[Literal Translation:S/he has been struck by the projectile] [Meaning:that someone has suffered from someone else’s actions. .],,,,,,4,5,4.5,,Accurate and natural.,
idiom,fj->en,idiom_literal,idiom|idioms|000040|literal,Fijian Idioms - Copy.txt,talai vakatoa,"[Literal Translation:sent on an errand like a chicken. ] [Meaning:Usually said in reference to a child who is slow and unreliable when sent on an errand. (Like a chicken, the child is diverted, losing track of the purpose of the mission.)]",,,,,,5,3,4.0,grammar,Acceptable but could be smoother.,
idiom,fj->en,idiom_literal,idiom|idioms|000013|literal,Fijian Idioms - Copy.txt,dau gasa yawa,"[Literal Translation:always wanting something that is inaccessible. ] [Meaning:This is often said of an individual who stays away from home, feeling more comfortable elsewhere]",,,,,,3,4,3.5,,Acceptable but could be smoother.,
idiom,fj->en,idiom_literal,idiom|idioms|000037|literal,Fijian Idioms - Copy.txt,"kemu isau, sa vuni tu",[Literal Translation:your reward remains concealed] [Meaning:Your reward (success) will come in time.],,,,,,3,3,3.0,lexical;grammar,Meaning mostly preserved; improve word choice.,
idiom,fj->en,idiom_literal,idiom|idioms|000040|literal,Fijian Idioms - Copy.txt,Maqa na leqa! Sa matua na raisi,[Literal Translation:There is no problem! There is rice at hand. It implies that we should not be worried. Everything is okay] [Meaning:],,,,,,3,4,3.5,lexical,Understandable with minor grammatical issues.,Good flow.
idiom,fj->en,idiom_literal,idiom|idioms|000015|literal,Fijian Idioms - Copy.txt,dramica na vusi,"[Literal Translation:The cat licked it up] [Meaning:that some food or item is so relished / desirable that it disappeared quickly, or something has been stolen secretly.]",,,,,,4,3,3.5,named_entity,Understandable with minor grammatical issues.,
idiom,fj->en,idiom_literal,idiom|idioms|000040|literal,Fijian Idioms - Copy.txt,tagitagica na yaloka ni mata ni vonu,"[Literal Translation:to cry for/like the eyes of a turtle. (When caught and beached the turtles eyes exude tears, appearing to cry. Those tears are in vain.)] [Meaning:This applies to someone who yearns for what is impossible.]",,,,,,5,4,4.5,,Fluent and clear.,Good flow.
idiom,fj->en,idiom_literal,idiom|idioms|000040|literal,Fijian Idioms - Copy.txt,solisoli vakatoa,"[Literal Translation:give like a rooster (who offers the female some food in the beak and then grabs it back}] [Meaning:Giving and then taking back,]",,,,,,5,4,4.5,named_entity,Fluent and clear.,
